id,stid,subid,SIF,zSIF,iFirst,iMiddle,iLast,iMean,iSlope,iPropSlope,ziMean,ziSlope,ziPropSlope
1,01_Levy1,01_Levy1s_604,9.0909091,0.394035384,0.210526316,0.204545455,0.181818182,0.198963317,-0.017088175,-0.081168831,-0.974400547,0.596128905,0.035997427
1,01_Levy1,01_Levy1s_635,2.6515151,-0.539206321,0.666666667,0.822916667,0.791666667,0.760416667,0.007142857,0.010714286,1.795505212,1.215850148,1.412092322
1,01_Levy1,01_Levy1s_639,12.5,0.888104517,0.5,0.264492754,0.416666667,0.393719807,-0.011180124,-0.022360248,-0.013577848,0.747230381,0.916748902
1,01_Levy1,01_Levy1s_679,15.1515151,1.272380502,0.318181818,0.090909091,0,0.136363636,-0.048051948,-0.151020408,-1.283233359,-0.195785689,-1.010140337
1,01_Levy1,01_Levy1s_680,9.0909091,0.394035384,0.363636364,0.129545455,0.142857143,0.212012987,-0.044786642,-0.123163265,-0.910020566,-0.11227379,-0.592935593
1,01_Levy1,01_Levy1s_766,12.5,0.888104517,0.166666667,0.042572464,0.041666667,0.083635266,-0.020341615,-0.122049689,-1.543366486,0.512920486,-0.576258032
1,01_Levy1,01_Levy1s_770,12.5,0.888104517,0.666666667,0.25317029,0.166666667,0.362167874,-0.105124224,-0.157686335,-0.169237941,-1.655438823,-1.109973129
1,01_Levy1,01_Levy1s_773,0,-0.923482306,0.636363636,0.406385281,0.6,0.547582973,-0.021954236,-0.034499514,0.745499411,0.471676865,0.734944208
1,01_Levy1,01_Levy1s_776,-7.5,-2.0104344,0.5,0.5625,0.5,0.520833333,-0.004285714,-0.008571429,0.613531222,0.923558502,1.123258259
1,01_Levy1,01_Levy1s_777,-4.1666667,-1.527344586,0.545454545,0.443181818,0.181818182,0.390151515,-0.055844156,-0.102380952,-0.031181861,-0.39507546,-0.28168761
1,01_Levy1,01_Levy1s_778,9.0909091,0.394035384,0.5,0.715909091,0.727272727,0.647727273,0.023376623,0.046753247,1.239556973,1.631037154,1.951832721
1,01_Levy1,01_Levy1s_780,-0.3787878,-0.978378865,0.916666667,0.768939394,0.52173913,0.73578173,-0.054686618,-0.059658128,1.673969818,-0.365470824,0.358154201
1,01_Levy1,01_Levy1s_891,12.5,0.888104517,0.375,0.21875,0.25,0.28125,-0.014285714,-0.038095238,-0.568442764,0.667803302,0.681092558
1,01_Levy1,01_Levy1s_900,0,-0.923482306,0.833333333,0.283061594,0.5,0.538798309,-0.063302277,-0.075962733,0.702160652,-0.585820783,0.113966972
1,01_Levy1,01_Levy1s_901,4.1666666,-0.319620042,0.75,0.4375,0.041666667,0.409722222,-0.13452381,-0.179365079,0.065369373,-2.407348521,-1.434646583
1,01_Levy1,01_Levy1s_902,4.1666667,-0.319620027,0.416666667,0.333333333,0.208333333,0.319444444,-0.044047619,-0.105714286,-0.380012131,-0.093372893,-0.331609555
1,01_Levy1,01_Levy1s_906,6.6666667,0.042697337,0.722222222,0.359660948,0.294117647,0.458666939,-0.07820028,-0.108277311,0.306836012,-0.966844956,-0.369994905
1,01_Levy1,01_Levy1s_908,16.6666667,1.491966796,0.208333333,0.165961779,0.043478261,0.139257791,-0.039957814,-0.191797506,-1.268955171,0.011225997,-1.620841826
2,02_Levy2,02_Levy2s_1026,8.541666667,1.060703691,0.725,0.6,0.3,0.541666667,-0.1325,-0.182758621,1.065079762,-1.157995171,-0.243071333
2,02_Levy2,02_Levy2s_1027,2.5,0.349023322,0.775,0.683333333,0.6,0.686111111,-0.055833333,-0.072043011,1.865250348,0.41698149,0.839057276
2,02_Levy2,02_Levy2s_1029,-5.178571429,-0.55547685,0.25,0.141025641,0.026315789,0.13911381,-0.069669366,-0.278677463,-1.164919167,0.13274546,-1.180577102
2,02_Levy2,02_Levy2s_1030,0.833333333,0.152697703,0.275,0.210060976,0.225,0.236686992,-0.017987805,-0.0654102,-0.624398618,1.194448747,0.903886025
2,02_Levy2,02_Levy2s_1031,7.5,0.938000179,0.25,0.09847561,0.125,0.157825203,-0.032804878,-0.131219512,-1.061264739,0.890059042,0.260669235
2,02_Levy2,02_Levy2s_1032,-5.357142857,-0.576511738,0.55,0.259756098,0.125,0.311585366,-0.13554878,-0.246452328,-0.2094884,-1.220626788,-0.86561031
2,02_Levy2,02_Levy2s_1033,12.26190476,1.498930518,0.425,0.2125,0.1,0.245833333,-0.115,-0.270588235,-0.573731158,-0.79848963,-1.101513408
2,02_Levy2,02_Levy2s_1034,5,0.643511751,0.725,0.608333333,0.342105263,0.558479532,-0.126535088,-0.174531155,1.158217024,-1.035456947,-0.162656509
2,02_Levy2,02_Levy2s_1035,-20.83333333,-2.399535341,0.475,0.173170732,0.05,0.232723577,-0.132865854,-0.279717587,-0.64635452,-1.165510973,-1.19074322
2,02_Levy2,02_Levy2s_1036,5.833333333,0.74167456,0.075,0.074390244,0.1,0.083130081,0.002378049,0.031707317,-1.475049014,1.612828024,1.853107581
2,02_Levy2,02_Levy2s_1038,6.319444444,0.798936199,0.282051282,0.198170732,0.075,0.185074005,-0.072481238,-0.256978936,-0.910316116,0.074980685,-0.968496828
2,02_Levy2,02_Levy2s_798,6.875,0.864378072,0.658536585,0.421893148,0.4,0.493476578,-0.080987224,-0.1229806,0.798123895,-0.099759263,0.341195932
2,02_Levy2,02_Levy2s_919,-8.611111111,-0.959814136,0.35,0.204994193,0.075,0.209998064,-0.0854036,-0.244010287,-0.772245739,-0.190485643,-0.841741928
2,02_Levy2,02_Levy2s_940,-1.944444444,-0.174511661,0.390243902,0.2529036,0.125,0.256049168,-0.077772938,-0.199293155,-0.517139084,-0.033727627,-0.404679008
2,02_Levy2,02_Levy2s_962,2.5,0.349023322,0.65,0.475297061,0.525,0.55009902,-0.039876485,-0.061348439,1.111791983,0.744785791,0.943585466
2,02_Levy2,02_Levy2s_963,-8.055555556,-0.894372264,0.756097561,0.277293844,0.425,0.486130468,-0.102407085,-0.135441628,0.757429072,-0.539791189,0.219402493
2,02_Levy2,02_Levy2s_979,-5,-0.534441962,0.523809524,0.47467167,0.6,0.532827065,0.025483785,0.048650861,1.016111527,2.087493174,2.018712898
2,02_Levy2,02_Levy2s_980,-11.51785714,-1.302215364,0.6,0.297256098,0.25,0.382418699,-0.12054878,-0.200914634,0.182902945,-0.912479182,-0.420527259
3,03_RolandJoCN,03_RolandJoCNs_019,,,0.28125,0.125,0.0625,0.15625,-0.059375,-0.211111111,-0.765583499,-0.394391764,-0.790857735
3,03_RolandJoCN,03_RolandJoCNs_024,,,0.375,0.395833333,0.28125,0.350694444,-0.04375,-0.116666667,0.997817051,0.236635058,0.477067699
3,03_RolandJoCN,03_RolandJoCNs_039,,,0.25,0.166666667,0.09375,0.170138889,-0.028125,-0.1125,-0.639626316,0.86766188,0.533005591
3,03_RolandJoCN,03_RolandJoCNs_071,,,0.28125,0.145833333,0.0625,0.163194444,-0.040625,-0.144444444,-0.702604912,0.362840423,0.104148462
3,03_RolandJoCN,03_RolandJoCNs_078,,,0.5,0.239583333,0.1875,0.309027778,-0.0625,-0.125,0.619945509,-0.520597128,0.365191929
3,03_RolandJoCN,03_RolandJoCNs_101,,,0.28125,0.25,0.09375,0.208333333,-0.05625,-0.2,-0.293244068,-0.268186399,-0.641690038
3,03_RolandJoCN,03_RolandJoCNs_107,,,0.5,0.177083333,0.1875,0.288194444,-0.075,-0.15,0.43100973,-1.025418586,0.029564607
3,03_RolandJoCN,03_RolandJoCNs_121,,,0.46875,0.260416667,0.4375,0.388888889,0.003125,0.006666667,1.344199307,2.129715524,2.132829165
3,03_RolandJoCN,03_RolandJoCNs_158,,,0.40625,0.1875,0.15625,0.25,-0.0625,-0.153846154,0.084627482,-0.520597128,-0.022070368
3,03_RolandJoCN,03_RolandJoCNs_165,,,0.09375,0.072916667,0.03125,0.065972222,-0.03125,-0.333333333,-1.584305187,0.741456516,-2.431702419
3,03_RolandJoCN,03_RolandJoCNs_169,,,0.65625,0.447916667,0.34375,0.482638889,-0.065625,-0.1,2.194410288,-0.646802492,0.700819252
3,03_RolandJoCN,03_RolandJoCNs_184,,,0.25,0.1875,0.15625,0.197916667,-0.01875,-0.075,-0.387711949,1.246277973,1.036446574
3,03_RolandJoCN,03_RolandJoCNs_187,,,0.46875,0.197916667,0.0625,0.243055556,-0.09375,-0.2,0.021648895,-1.782650772,-0.641690038
3,03_RolandJoCN,03_RolandJoCNs_189,,,0.15625,0.041666667,0.03125,0.076388889,-0.025,-0.16,-1.489837297,0.993867245,-0.104686322
3,03_RolandJoCN,03_RolandJoCNs_219,,,0.3125,0.208333333,0.09375,0.204861111,-0.06875,-0.22,-0.324733362,-0.773007857,-0.910191896
3,03_RolandJoCN,03_RolandJoCNs_228,,,0.46875,0.229166667,0.1875,0.295138889,-0.065625,-0.14,0.493988326,-0.646802492,0.163815536
4,04_PierreJoN,04_PierreJoNs_100,,,0.75,0.572916667,0.34375,0.555555556,-0.11875,-0.158333333,1.041072649,-1.336855255,-0.549171597
4,04_PierreJoN,04_PierreJoNs_105,,,0.4375,0.302083333,0.40625,0.381944444,-0.021875,-0.05,0.168055749,0.429788279,0.261805307
4,04_PierreJoN,04_PierreJoNs_110,,,0.34375,0.135416667,0.09375,0.190972222,-0.053125,-0.154545455,-0.792262834,-0.140096732,-0.520815767
4,04_PierreJoN,04_PierreJoNs_115,,,0.75,0.802083333,0.875,0.809027778,0.034375,0.045833333,2.315677315,1.455581299,0.979207953
4,04_PierreJoN,04_PierreJoNs_120,,,0.25,0.375,0.4375,0.354166667,0.05,0.2,0.02837305,1.740523804,2.133290476
4,04_PierreJoN,04_PierreJoNs_125,,,0.75,0.635416667,0.71875,0.701388889,-0.05625,-0.075,1.774406839,-0.197085233,0.07465679
4,04_PierreJoN,04_PierreJoNs_130,,,0.25,0.354166667,0.46875,0.357638889,0.053125,0.2125,0.045833387,1.797512305,2.226864735
4,04_PierreJoN,04_PierreJoNs_135,,,0.84375,0.375,0.25,0.489583333,-0.134375,-0.159259259,0.709326225,-1.62179776,-0.556103024
4,04_PierreJoN,04_PierreJoNs_140,,,0.40625,0.25,0.25,0.302083333,-0.046875,-0.115384615,-0.233532022,-0.02611973,-0.227660042
4,04_PierreJoN,04_PierreJoNs_141,,,0.125,0.052083333,0.0625,0.079861111,-0.015625,-0.125,-1.350993646,0.543765281,-0.299640244
4,04_PierreJoN,04_PierreJoNs_145,,,0.75,0.635416667,0.09375,0.493055556,-0.184375,-0.245833333,0.726786567,-2.533613778,-1.204191406
4,04_PierreJoN,04_PierreJoNs_150,,,0.1875,0.291666667,0.15625,0.211805556,-0.01875,-0.1,-0.687500803,0.48677678,-0.112491727
4,04_PierreJoN,04_PierreJoNs_161,,,0.1875,0.041666667,0.03125,0.086805556,-0.040625,-0.216666667,-1.316072968,0.087857273,-0.985851475
4,04_PierreJoN,04_PierreJoNs_165,,,0.46875,0.364583333,0.28125,0.371527778,-0.046875,-0.1,0.115674739,-0.02611973,-0.112491727
4,04_PierreJoN,04_PierreJoNs_170,,,0.0625,0.083333333,0.125,0.090277778,0.015625,0.25,-1.298612631,1.113650292,2.50758751
4,04_PierreJoN,04_PierreJoNs_175,,,0.40625,0.25,0.125,0.260416667,-0.078125,-0.192307692,-0.443056073,-0.596004741,-0.803501633
4,04_PierreJoN,04_PierreJoNs_185,,,0.28125,0.28125,0.1875,0.25,-0.025,-0.088888889,-0.495437088,0.372799778,-0.029314609
4,04_PierreJoN,04_PierreJoNs_186,,,0.28125,0.21875,0.0625,0.1875,-0.0625,-0.222222222,-0.809723171,-0.311062235,-1.02744003
4,04_PierreJoN,04_PierreJoNs_187,,,0.5625,0.354166667,0.375,0.430555556,-0.0625,-0.111111111,0.412500485,-0.311062235,-0.195668845
4,04_PierreJoN,04_PierreJoNs_188,,,0.625,0.34375,0.34375,0.4375,-0.0875,-0.14,0.447421158,-0.766970244,-0.411929354
4,04_PierreJoN,04_PierreJoNs_195,,,0.21875,0.09375,0.0625,0.125,-0.04375,-0.2,-1.124009253,0.030868771,-0.861085795
4,04_PierreJoN,04_PierreJoNs_200,,,0.53125,0.291666667,0.3125,0.378472222,-0.059375,-0.111764706,0.150595413,-0.254073734,-0.200561618
4,04_PierreJoN,04_PierreJoNs_205,,,0.71875,0.677083333,0.5625,0.652777778,-0.06875,-0.095652174,1.529962109,-0.425039237,-0.079944159
4,04_PierreJoN,04_PierreJoNs_215,,,0.21875,0.125,0.15625,0.166666667,-0.01875,-0.085714286,-0.914485196,0.48677678,-0.005549719
5,05_Yuhua,05_Yuhuas_802,6.0606061,0.032250126,0.869565217,0.607142857,0.681818182,0.719508752,-0.036358931,-0.041812771,0.853782118,0.430910906,0.673548962
5,05_Yuhua,05_Yuhuas_803,-10.8333333,-1.18190436,0.777777778,0.750717373,1,0.842831717,0.092314119,0.118689581,1.282074239,2.895491411,2.028624825
5,05_Yuhua,05_Yuhuas_804,10,0.315371349,0.7,0.216666667,0.15,0.355555556,-0.115,-0.164285714,-0.410202137,-1.075366015,-0.36045538
5,05_Yuhua,05_Yuhuas_805,-9.7222222,-1.102049656,0.375,0.041666667,0,0.138888889,-0.0875,-0.233333333,-1.162670473,-0.548635951,-0.943404855
5,05_Yuhua,05_Yuhuas_807,22.2222222,1.193773098,0.6875,0.416666667,0.375,0.493055556,-0.11875,-0.172727273,0.067325845,-1.147192842,-0.43172507
5,05_Yuhua,05_Yuhuas_808,-1.8939394,-0.539436967,0.208333333,0.152777778,0.043478261,0.134863124,-0.028804348,-0.13826087,-1.176651676,0.575610032,-0.140734999
5,05_Yuhua,05_Yuhuas_809,0,-0.403320993,0.318181818,0.183261183,0,0.167147667,-0.072727273,-0.228571429,-1.064529693,-0.26568179,-0.90320145
5,05_Yuhua,05_Yuhuas_810,3.4090909,-0.158312241,0.727272727,0.509451659,0.285714286,0.507479557,-0.090930736,-0.125029762,0.117419402,-0.614347653,-0.029028505
5,05_Yuhua,05_Yuhuas_811,6.0606061,0.032250126,0.888888889,0.868191721,0.833333333,0.863471314,-0.016013072,-0.018014706,1.35375413,0.820611837,0.874469279
5,05_Yuhua,05_Yuhuas_812,31.25,1.842592574,0.3125,0.145833333,0,0.152777778,-0.075,-0.24,-1.114435323,-0.309213195,-0.999689635
5,05_Yuhua,05_Yuhuas_813,-21.7171717,-1.96411749,0.444444444,0.166666667,0.166666667,0.259259259,-0.055555556,-0.125,-0.74463251,0.063222196,-0.028777233
