id,stid,subid,model,rID,roi,T,NT,coverage
1,01_Levy1,01_Levy1s_604,model_00,1,ch12,0.007320232,0.023502849,99.60629921
1,01_Levy1,01_Levy1s_635,model_00,1,ch12,-0.038192853,-0.02542412,100
1,01_Levy1,01_Levy1s_639,model_00,1,ch12,-0.019886187,-0.036451227,96.4664311
1,01_Levy1,01_Levy1s_679,model_00,1,ch12,-0.041203754,-0.15598856,93.69369369
1,01_Levy1,01_Levy1s_680,model_00,1,ch12,-0.037150442,-0.036429017,100
1,01_Levy1,01_Levy1s_766,model_00,1,ch12,-0.062691836,-0.028721132,83.63171355
1,01_Levy1,01_Levy1s_770,model_00,1,ch12,-0.040062693,0.001069958,100
1,01_Levy1,01_Levy1s_773,model_00,1,ch12,-0.001155383,-0.0101366,89.52095808
1,01_Levy1,01_Levy1s_776,model_00,1,ch12,-0.041835262,-0.008145331,100
1,01_Levy1,01_Levy1s_777,model_00,1,ch12,-0.049645546,-0.076174056,100
1,01_Levy1,01_Levy1s_778,model_00,1,ch12,0.003350192,-0.118652212,100
1,01_Levy1,01_Levy1s_780,model_00,1,ch12,-0.01389664,-0.079965307,100
1,01_Levy1,01_Levy1s_891,model_00,1,ch12,-0.059065819,-0.120442139,100
1,01_Levy1,01_Levy1s_900,model_00,1,ch12,-0.001705092,-0.086805606,99.01639344
1,01_Levy1,01_Levy1s_901,model_00,1,ch12,-0.051134352,-0.058077009,97.57575758
1,01_Levy1,01_Levy1s_902,model_00,1,ch12,0.041399908,0.042230364,96.66666667
1,01_Levy1,01_Levy1s_906,model_00,1,ch12,-0.038211693,-0.065814242,100
1,01_Levy1,01_Levy1s_908,model_00,1,ch12,0.012229273,-0.032125342,100
1,01_Levy1,01_Levy1s_604,model_00,2,hc_Right,0.056887353,0.031470748,99.15343915
1,01_Levy1,01_Levy1s_635,model_00,2,hc_Right,-0.011519977,-0.03960806,100
1,01_Levy1,01_Levy1s_639,model_00,2,hc_Right,-0.000932648,-0.041459038,99.72333231
1,01_Levy1,01_Levy1s_679,model_00,2,hc_Right,-0.016600942,-0.027499962,100
1,01_Levy1,01_Levy1s_680,model_00,2,hc_Right,0.006535171,-0.045104708,99.70131422
1,01_Levy1,01_Levy1s_766,model_00,2,hc_Right,-0.00826751,-0.06621356,78.59111792
1,01_Levy1,01_Levy1s_770,model_00,2,hc_Right,-0.010109718,0.013519566,99.63720317
1,01_Levy1,01_Levy1s_773,model_00,2,hc_Right,0.012690931,-0.015296059,100
1,01_Levy1,01_Levy1s_776,model_00,2,hc_Right,-0.007291842,-0.00214788,100
1,01_Levy1,01_Levy1s_777,model_00,2,hc_Right,-0.03244263,-0.047771772,99.00466563
1,01_Levy1,01_Levy1s_778,model_00,2,hc_Right,0.002793437,-0.056969101,99.58664547
1,01_Levy1,01_Levy1s_780,model_00,2,hc_Right,-0.003590054,-0.053844252,97.40381608
1,01_Levy1,01_Levy1s_891,model_00,2,hc_Right,-0.003899467,-0.041568987,92.03109815
1,01_Levy1,01_Levy1s_900,model_00,2,hc_Right,0.004421581,-0.029947656,99.67159278
1,01_Levy1,01_Levy1s_901,model_00,2,hc_Right,0.033535338,0.064072415,96.5140123
1,01_Levy1,01_Levy1s_902,model_00,2,hc_Right,0.003164796,0.041813734,99.68183264
1,01_Levy1,01_Levy1s_906,model_00,2,hc_Right,-0.060447046,-0.052144334,100
1,01_Levy1,01_Levy1s_908,model_00,2,hc_Right,-0.053324059,-0.056346383,99.88662132
1,01_Levy1,01_Levy1s_604,model_00,3,hc_Left,0.030356452,0.028176421,93.76359681
1,01_Levy1,01_Levy1s_635,model_00,3,hc_Left,0.001745264,-0.021828681,100
1,01_Levy1,01_Levy1s_639,model_00,3,hc_Left,-0.014751152,-0.045261117,99.26962873
1,01_Levy1,01_Levy1s_679,model_00,3,hc_Left,-0.019378153,-0.056636048,99.8667555
1,01_Levy1,01_Levy1s_680,model_00,3,hc_Left,0.013919674,-0.040005576,99.94086339
1,01_Levy1,01_Levy1s_766,model_00,3,hc_Left,-0.013659733,-0.038911443,75.97361809
1,01_Levy1,01_Levy1s_770,model_00,3,hc_Left,-0.029648433,-0.000327898,99.17355372
1,01_Levy1,01_Levy1s_773,model_00,3,hc_Left,-0.010533102,-0.03379835,98.55751893
1,01_Levy1,01_Levy1s_776,model_00,3,hc_Left,-0.015742963,-0.001244345,99.19495975
1,01_Levy1,01_Levy1s_777,model_00,3,hc_Left,-0.060098766,-0.056267635,98.36666667
1,01_Levy1,01_Levy1s_778,model_00,3,hc_Left,0.016787216,-0.063773388,99.86135182
1,01_Levy1,01_Levy1s_780,model_00,3,hc_Left,0.01321409,-0.02455323,100
1,01_Levy1,01_Levy1s_891,model_00,3,hc_Left,-0.016190552,-0.060421261,94.86599935
1,01_Levy1,01_Levy1s_900,model_00,3,hc_Left,0.028247035,-0.020927549,98.24793388
1,01_Levy1,01_Levy1s_901,model_00,3,hc_Left,0.025624326,0.056691345,94.86125385
1,01_Levy1,01_Levy1s_902,model_00,3,hc_Left,0.005068991,0.045867584,99.9334221
1,01_Levy1,01_Levy1s_906,model_00,3,hc_Left,-0.044442358,-0.047642648,99.93906155
1,01_Levy1,01_Levy1s_908,model_00,3,hc_Left,-0.059074984,-0.072613763,98.67936118
1,01_Levy1,01_Levy1s_604,model_00,4,hc_rHead,0.068939006,0.026556787,98.34710744
1,01_Levy1,01_Levy1s_635,model_00,4,hc_rHead,-0.00729757,-0.043976239,100
1,01_Levy1,01_Levy1s_639,model_00,4,hc_rHead,-0.013130622,-0.070062277,100
1,01_Levy1,01_Levy1s_679,model_00,4,hc_rHead,-0.017158236,-0.064939657,100
1,01_Levy1,01_Levy1s_680,model_00,4,hc_rHead,-0.001924099,-0.074938699,99.46609717
1,01_Levy1,01_Levy1s_766,model_00,4,hc_rHead,-0.035705346,-0.141613508,51.95876289
1,01_Levy1,01_Levy1s_770,model_00,4,hc_rHead,-0.004197559,0.029664719,99.17971663
1,01_Levy1,01_Levy1s_773,model_00,4,hc_rHead,0.025547809,-0.006741098,100
1,01_Levy1,01_Levy1s_776,model_00,4,hc_rHead,-0.011039654,-0.000291439,100
1,01_Levy1,01_Levy1s_777,model_00,4,hc_rHead,-0.044658089,-0.068286118,97.85090665
1,01_Levy1,01_Levy1s_778,model_00,4,hc_rHead,0.015393581,-0.070474724,99.05454545
1,01_Levy1,01_Levy1s_780,model_00,4,hc_rHead,-0.00418326,-0.0797747,94.3537415
1,01_Levy1,01_Levy1s_891,model_00,4,hc_rHead,-0.010450372,-0.091437227,81.77777778
1,01_Levy1,01_Levy1s_900,model_00,4,hc_rHead,-0.011346402,-0.045551852,100
1,01_Levy1,01_Levy1s_901,model_00,4,hc_rHead,0.034241005,0.070728506,92.68849962
1,01_Levy1,01_Levy1s_902,model_00,4,hc_rHead,0.007968957,0.043421276,99.48287007
